"product_id";"product_name";"unit_price";"product_category_id";"description"
1;"Organic Beans";18.0;7;"Brazilian - Organic"
2;"House blend Beans";18.0;7;"Our Old Time Diner Blend"
3;"Espresso Beans";14.75;7;"Espresso Roast"
4;"Espresso Beans";20.45;7;"Primo Espresso Roast"
5;"Gourmet Beans";15.0;7;"Columbian Medium Roast"
6;"Gourmet Beans";21.0;7;"Ethiopia"
7;"Premium Beans";19.75;7;"Jamacian Coffee River"
8;"Premium Beans";45.0;7;"Civet Cat"
9;"Organic Beans";28.0;7;"Organic Decaf Blend"
10;"Green beans";10.0;7;"Guatemalan Sustainably Grown"
11;"Herbal tea";8.95;6;"Lemon Grass"
12;"Herbal tea";8.95;6;"Peppermint"
13;"Black tea";8.95;6;"English Breakfast"
14;"Black tea";8.95;6;"Earl Grey"
15;"Green tea";9.25;6;"Serenity Green Tea"
16;"Chai tea";8.95;6;"Traditional Blend Chai"
17;"Chai tea";9.5;6;"Morning Sunrise Chai"
18;"Chai tea";10.95;6;"Spicy Eye Opener Chai"
19;"Drinking Chocolate";6.4;8;"Dark chocolate"
20;"Organic Chocolate";7.6;8;"Sustainably Grown Organic"
21;"Drinking Chocolate";13.33;8;"Chili Mayan"
22;"Drip coffee";2.0;1;"Our Old Time Diner Blend Sm"
23;"Drip coffee";2.5;1;"Our Old Time Diner Blend Rg"
24;"Drip coffee";3.0;1;"Our Old Time Diner Blend Lg"
25;"Organic brewed coffee";2.2;1;"Brazilian Sm"
26;"Organic brewed coffee";3.0;1;"Brazilian Rg"
27;"Organic brewed coffee";3.5;1;"Brazilian Lg"
28;"Gourmet brewed coffee";2.0;1;"Columbian Medium Roast Sm"
29;"Gourmet brewed coffee";2.5;1;"Columbian Medium Roast Rg"
30;"Gourmet brewed coffee";3.0;1;"Columbian Medium Roast Lg"
31;"Gourmet brewed coffee";2.2;1;"Ethiopia Sm"
32;"Gourmet brewed coffee";3.0;1;"Ethiopia Rg"
33;"Gourmet brewed coffee";3.5;1;"Ethiopia Lg"
34;"Premium brewed coffee";2.45;1;"Jamaican Coffee River Sm"
35;"Premium brewed coffee";3.1;1;"Jamaican Coffee River Rg"
36;"Premium brewed coffee";3.75;1;"Jamaican Coffee River Lg"
37;"Barista Espresso";3.0;1;"Espresso shot"
38;"Barista Espresso";3.75;1;"Latte"
39;"Barista Espresso";4.25;1;"Latte Rg"
40;"Barista Espresso";3.75;1;"Cappuccino"
41;"Barista Espresso";4.25;1;"Cappuccino Lg"
42;"Brewed herbal tea";2.5;2;"Lemon Grass Rg"
43;"Brewed herbal tea";3.0;2;"Lemon Grass Lg"
44;"Brewed herbal tea";2.5;2;"Peppermint Rg"
45;"Brewed herbal tea";3.0;2;"Peppermint Lg"
46;"Brewed Green tea";2.5;2;"Serenity Green Tea Rg"
47;"Brewed Green tea";3.0;2;"Serenity Green Tea Lg"
48;"Brewed Black tea";2.5;2;"English Breakfast Rg"
49;"Brewed Black tea";3.0;2;"English Breakfast Lg"
50;"Brewed Black tea";2.5;2;"Earl Grey Rg"
51;"Brewed Black tea";3.0;2;"Earl Grey Lg"
52;"Brewed Chai tea";2.5;2;"Traditional Blend Chai Rg"
53;"Brewed Chai tea";3.0;2;"Traditional Blend Chai Lg"
54;"Brewed Chai tea";2.5;2;"Morning Sunrise Chai Rg"
55;"Brewed Chai tea";4.0;2;"Morning Sunrise Chai Lg"
56;"Brewed Chai tea";2.55;2;"Spicy Eye Opener Chai Rg"
57;"Brewed Chai tea";3.1;2;"Spicy Eye Opener Chai Lg"
58;"Hot chocolate";3.5;3;"Dark chocolate Rg"
59;"Hot chocolate";4.5;3;"Dark chocolate Lg"
60;"Hot chocolate";3.75;3;"Sustainably Grown Organic Rg"
61;"Hot chocolate";4.75;3;"Sustainably Grown Organic Lg"
63;"Regular syrup";0.8;5;"Carmel syrup"
64;"Regular syrup";0.8;5;"Hazelnut syrup"
65;"Sugar free syrup";0.8;5;"Sugar Free Vanilla syrup"
69;"Biscotti";3.25;4;"Hazelnut Biscotti"
70;"Scone";3.25;4;"Cranberry Scone"
71;"Pastry";3.75;4;"Chocolate Croissant"
72;"Scone";3.25;4;"Ginger Scone"
73;"Pastry";3.75;4;"Almond Croissant"
74;"Biscotti";3.5;4;"Ginger Biscotti"
75;"Pastry";3.5;4;"Croissant"
76;"Biscotti";3.5;4;"Chocolate Chip Biscotti"
77;"Scone";3.0;4;"Oatmeal Scone"
78;"Scone";4.5;4;"Scottish Cream Scone "
79;"Scone";3.75;4;"Jumbo Savory Scone"
81;"Clothing";28.0;9;"I Need My Bean! T-shirt"
82;"Housewares";12.0;9;"I Need My Bean! Diner mug"
83;"Housewares";14.0;9;"I Need My Bean! Latte cup"
84;"Regular syrup";0.8;5;"Chocolate syrup"
87;"Barista Espresso";3.0;1;"Ouro Brasileiro shot"
